"TOA5","HCHO_landfill_met","CR1000","50904","CR1000.Std.28.02","CPU:hcho-landfill-wx.cr1","3570","halfhourly"
"TIMESTAMP","RECORD","P_10m_Avg","T_10m_Avg","RH_10m_Avg","WS_10m_Avg","WD_10m_unit_Avg","WD_10m_epa_Std","T_2m_Avg","RH_2m_Avg"
"TS","RN","mbar","degC","","m/s","degTN","deg","degC",""
"","","Avg","Avg","Avg","WVc","WVc","WVc","Avg","Avg"
"2016-06-28 01:30:00",276,1015.452,22.44,37.38,3.31,230.7,11.94,21.98,42.8
"2016-06-28 02:00:00",277,1015.602,21.49,38.47,3.054,232.1,9.56,21.29,43.7
"2016-06-28 02:30:00",278,1015.798,20.85,39.55,3.751,233.2,7.813,20.77,44.86
"2016-06-28 03:00:00",279,1015.977,19.95,43.52,3.266,233.9,4.372,19.65,49.88
"2016-06-28 03:30:00",280,1016.151,19.74,48.31,3.362,237.9,7.094,19.46,55.82
"2016-06-28 04:00:00",281,1016.332,19,47.96,2.774,239.5,8.08,18.86,55.18
"2016-06-28 04:30:00",282,1016.649,18.77,51.51,2.372,240.4,10.19,18.67,58.37
"2016-06-28 05:00:00",283,1017.052,20.66,52.2,1.754,229.1,6.233,19.56,57.49
"2016-06-28 05:30:00",284,1017.372,21.74,50.71,0.876,222.3,64.51,20.44,58.32
"2016-06-28 06:00:00",285,1017.569,22.86,49.01,0.717,262.9,38.63,20.49,59.65
"2016-06-28 06:30:00",286,1017.676,23.37,46.25,0.893,170.4,61,21.64,56.54
"2016-06-28 07:00:00",287,1017.784,25.17,43.36,1.169,178.6,32.07,23.09,52.33
